objectid,title,start_date,end_date,display_date,description,image_small,image_thumb
buildingprofile0001,Marston Cottage,1868,1958,,"Built 1868-1870, Marston Cottage was the third of the three “Professors’ Houses”. Its first occupant was Professor William A. Anthony, who resigned in 1872; the second was Alexander Thomson, who resigned in 1884, and the house was shared at times with Albert E. Foote and E.R. Hutchins. General James Rush lived there from 1885 to 1891, after which Anson Marston occupied the house from 1892 until he died in 1949, occasionally sharing it with Samuel W. Beyer. Mrs. Marston lived there until the house was razed in 1958 to make room for the addition to Helser Hall. The brick house included a basement, two full floors, and a large attic. Over time, several modifications were made, including the addition of back stairs in 1874, major repairs in 1904, a screened porch in 1913, and a basement garage in 1923.",/objects/small/04-08-i_marstoncottage_0263-09-01_sm.jpg,/objects/thumbs/04-08-i_marstoncottage_0263-09-01_th.jpg
buildingprofile0002,South Hall,1868,1912,,"Built 1868-1869, South Hall was the first of the three “Professors’ Houses”, and stood on what is now Union Drive. The two-story structure featured a mansard roof, a west-facing front porch, second-story windows that extended into the roof, and a tower-like element at the southwest corner. It was occupied by President Welch from 1869 to 1879, during which time an addition was completed in 1871. After the Welch family moved to The Gables, the building was repurposed for the Botany and Veterinary Medicine departments. In 1880, it was modified for use by Domestic Economy and sustained damage during a tornado in 1882. By 1896, South Hall had become Music Hall, serving that role until it was destroyed by fire in 1912. It was connected to the campus sewer system in 1897.",https://isuu00001library102stg.blob.core.windows.net/digital-objects/vetmed/small/rs014-001-009b016f001i010_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vetmed/thumbs/rs014-001-009b016f001i010_th.jpg
buildingprofile0003,Music Hall,1868,1978,,"Built 1868-1870, Music Hall was the second of the three “Professors’ Houses”, and was first occupied by mathematics Professor George W. Jones. Edgar W. Stanton lived with Jones's family, and from 1879 to Stanton's death in 1920, the home was known as the Stanton House. The house was remodeled in 1899 with a 20-foot east addition, repaired in 1904, and updated in 1914 with central heating and a basement garage. After her husband's death, Mrs. Stanton continued to live in the house, and when she started a tea room in 1922, the home became known as ""The Maples."" Mrs. Stanton moved out in 1924, and the Home Economics Department continued operating the tea room. In 1926, the east (front) porch was enclosed, and the kitchen was enlarged. In 1928, the tearoom closed with the opening of the Memorial Union, and the Music Department moved in. The name ""Music Hall"" became official in 1929. The house was torn down in 1978 to make way for the new music building, which was constructed on the site.",https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones148_c001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones148_c001_th.jpg
buildingprofile0004,Mortensen Cottage,1877,1927,,"Built in 1877 where Botany Hall now stands, Professor J.L. Budd built Mortensen Cottage for his family and sold the house to the College for $2,000 in 1884. During this time, a two-story addition was added to this house after a cyclone blew down the chimneys in 1882. Mortensen Cottage was moved in 1892 to make room for the Botany Hall. The house was occupied by several tenants, including J.L. Budd (1877–1890), D.A. Kent (1891–1894), J.B. Weems (1895–1903), G.L. McKay (1904–1907), and Martin Mortensen (1908–1926). It was demolished in 1927 to make way for the new Dairy Industries Building.
",https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones198_c001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones198_c001_th.jpg
buildingprofile0005,Chemical and Physical Laboratory,1870,1913,,"Proposed in 1868 due to a lack of proper laboratory space, the Chemical Laboratory was completed in 1871 as a small brick building for approximately $5,000. Between 1874 and 1875, a larger Physical Laboratory was added to the east end. The expanded building housed the Chemistry, Physics, Mechanical, and later Electrical Engineering departments, featuring lecture rooms, laboratories, and an observatory. Additions and upgrades continued, including a second flood in 1891, steam heat in 1892, and a third-floor expansion in 1910 as the building became overcrowded. The laboratory was destroyed by fire on March 25, 1913.
",https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones184_c001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones184_c001_th.jpg
buildingprofile0006,Main Building,1864,1902,,"Built between 1864 and 1868, the Main Building was Iowa State’s first major campus structure. Designed by C.A. Dunham after earlier plans were revised, the large brick building housed classrooms, laboratories, a library, a museum, dining facilities, and student and faculty living quarters. An addition completed between 1871 and 1873 expanded its capacity, though the building quickly became overcrowded. Throughout its use, Old Main underwent numerous repairs and upgrades, including heating system replacements, structural reinforcements, and the addition of electric lighting in 1884. Despite these efforts, persistent structural issues and aging infrastructure remained. A fire in December 1900 destroyed the north wing, and a second fire in August 1902 destroyed the south wing, leading to the building’s complete loss. The structure served the college for just over thirty years before being replaced by Beardshear Hall.
",https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/4-8-i_oldmain_275-4-1_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/4-8-i_oldmain_275-4-1_th.jpg
buildingprofile0007,Cattle Barn (First),1924,1931,,"Construction of the Cattle Barn started in 1924, but due to a lack of funds, it was completed in late 1926. The barn included silos at the northeast and northwest corners. On October 6, 1931, lightning struck the building, igniting a fire that completely destroyed the barn. The rebuild was completed the following February, and the silo that received the lightning blow was not rebuilt until 1935. Another fire on October 19, 1958, burned the east wing roof and a large quantity of hay. The silos were razed in 1968.",https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones025_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones025_001_th.jpg
buildingprofile0008,The Farm House,1860,2040,1860 - Present,"Construction of the Farm House (Knapp-Wilson House) began in 1860 and was completed in 1865 as the first building on Iowa State’s campus. Built by day labor, it served as an early residence for farm and college operations. The structure was expanded and modified over time, including additions, repairs, and conversion into a two-family residence in the late 1880s. After decades of use and continued updates, it was designated a National Historic Landmark in 1965. Restored between 1972 and 1975, the building now serves as a museum preserving Iowa State’s early history. ",https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones003_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones003_001_th.jpg
buildingprofile0009,Boarding Cottage West,1880,1934,,"As enrollment increased and the Main Building could no longer accommodate all students, proposals were made for a dormitory to house 120 students. Ten years later, funds were made available, and Boarding Cottage West was erected in 1880, consisting of 16 rooms. An addition was completed in 1882, the porch was added in August 1886, and in 1894, both floors of the cottage were remodeled. A year later, three rooms in the basement were made available for an electrical laboratory. The cottage was remodeled again in 1907 to serve as the College Hospital, until the new Hospital was built in 1918, when Boarding Cottage West became the detention ward. Further remodeling took place in 1920, and the building was razed in 1934. ",https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones172_c001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones172_c001_th.jpg
buildingprofile0010,Feeding Barn,1880,1901,,"The Feeding Barn was built in 1880. Designed by Prof T.L. Smith, the Feeding Barn was constructed under contract with F.S. Whiting at a total cost of $792.10. The barn was authorized for repairs in 1890, funded by Experiment Station resources. In October 1901, a fire originating in the barn destroyed the structure along with the Experiment Station Barn. 
",https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones022_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones022_001_th.jpg
